gene,log2fc_late_minus_early,pval,qval,significant
IL20RB,1.4847175413351512,1.7183672259702512e-14,1.435168380238724e-10,True
SAA1,2.1517080257628343,2.1594468556104784e-14,1.435168380238724e-10,True
FAM160A1,-0.5496448184819573,7.41555594400228e-15,1.435168380238724e-10,True
PPARG,-0.41772915844794234,8.515754128175922e-14,4.2446776451892887e-10,True
HSPA4L,-0.5441293050729827,2.170323944043833e-13,8.654383759269189e-10,True
PAEP,1.0082960013886033,3.4063494790938296e-13,1.1319299319028795e-09,True
TSPAN7,-0.7484898090865846,4.600242496067111e-13,1.3102804983798008e-09,True
HSD17B8,-0.5234859129672182,1.335693678295902e-12,2.421005505260336e-09,True
OTUD7A,-0.34427248189611737,1.235646784376428e-12,2.421005505260336e-09,True
ASTN2,-0.48769960165313453,1.138169823750577e-12,2.421005505260336e-09,True
ZIC2,0.3024029497716146,1.0138910654583348e-12,2.421005505260336e-09,True
LIMCH1,-0.5640869088990614,1.613390737981802e-12,2.6806487111567638e-09,True
SESTD1,-0.4479541423114104,2.0646671852480306e-12,3.166564179959633e-09,True
SPATA18,-0.6320315754408012,2.7509217648541984e-12,3.427992384228938e-09,True
ZNF132,-0.4185770270335052,2.5795358806548932e-12,3.427992384228938e-09,True
FGF12,-0.4238972273489632,2.563517145304265e-12,3.427992384228938e-09,True
UFSP2,-0.4571878859458476,3.4115084151645234e-12,4.001097340091192e-09,True
LIN7A,-0.917168398579506,3.957551514641972e-12,4.383647894385091e-09,True
OSBPL1A,-0.5362714529591655,4.209573473348133e-12,4.417393469032372e-09,True
MOCOS,0.7888786530592822,4.693798847089859e-12,4.679248070663881e-09,True
CHRM3,-0.512311218176341,5.373638961914596e-12,5.1018863629834866e-09,True
SNRPD3,-0.4540375426015686,7.402539179584285e-12,6.417035920110933e-09,True
GNG7,-0.5209677694645767,7.136355646328978e-12,6.417035920110933e-09,True
KAT5,-0.34962833263835247,9.068219597698354e-12,7.212022507598315e-09,True
SCN4A,-0.5975843201270892,9.404784090558541e-12,7.212022507598315e-09,True
RYR2,0.28851649008473,9.08643062175864e-12,7.212022507598315e-09,True
MRPL50,-0.33214708601178433,9.832821802767089e-12,7.260992633465564e-09,True
C1QL1,1.372956513820268,1.1371367199516257e-11,8.097225686569827e-09,True
AGTR1,-0.9825476912154536,1.2375269662843129e-11,8.224604217925544e-09,True
SHOX2,0.23676457724978042,1.2348649585527267e-11,8.224604217925544e-09,True
PLPP3,-0.6175464083963993,1.531099911462584e-11,8.434385785072571e-09,True
IBA57,-0.35193100965593116,1.3601767835217256e-11,8.434385785072571e-09,True
ELAPOR1,0.32169468639314347,1.5280291742846096e-11,8.434385785072571e-09,True
TMEM150C,-0.6439615768630098,1.4533328357917722e-11,8.434385785072571e-09,True
SCAPER,-0.401523817805038,1.565213532188209e-11,8.434385785072571e-09,True
EMX2,-0.8623354224939641,1.531099911462584e-11,8.434385785072571e-09,True
ASIP,0.3931078900029398,1.3118087758065546e-11,8.434385785072571e-09,True
MFSD2A,0.7361872093328425,1.7092730827816878e-11,8.738329929359305e-09,True
CDADC1,-0.3625018087655092,1.6787903984761216e-11,8.738329929359305e-09,True
GCLC,-0.3675419553817201,1.9077082986598e-11,9.508972014669774e-09,True
RGP1,-0.43641283955539256,2.1159705258567983e-11,1.0289809840129961e-08,True
SV2C,-0.10993796436304513,2.201681162285959e-11,1.0451695003251773e-08,True
CAVIN2,-0.8049422094975185,2.4269856038842813e-11,1.1253311388429024e-08,True
ZNF844,-0.4171825614456335,2.5302293634390782e-11,1.1465389329147352e-08,True
ZNF433,-0.42857814069350963,2.7661440488868252e-11,1.2255862232601228e-08,True
FRMPD2,-0.17600202010860444,3.145302070066748e-11,1.3632833189780612e-08,True
ZNF382,-0.28537401838302734,3.484930987395045e-11,1.478352213333668e-08,True
TNNT1,0.6940879177060755,4.3166176742852606e-11,1.5897871882708942e-08,True
PDIA2,0.19177425220777003,4.1036161203761825e-11,1.5897871882708942e-08,True
FOXP3,0.5321505523569978,4.241755578744694e-11,1.5897871882708942e-08,True
SOWAHB,-0.7224544868282927,4.134960684190786e-11,1.5897871882708942e-08,True
CLN8,-0.3549815522321542,4.275166326095919e-11,1.5897871882708942e-08,True
CCDC121,-0.36279528403333305,3.9060979520170126e-11,1.5897871882708942e-08,True
WDR31,-0.451264180055448,4.2251650730756083e-11,1.5897871882708942e-08,True
