,mean_weight,std_weight,folds_in_top50,abs_mean
XAGE1B,0.008308195147498584,0.0020586533478655633,4,0.008308195147498584
GAGE2A,0.008282827796733202,0.0013547320065114092,5,0.008282827796733202
HTR2C,0.008248937574880821,0.0026945097368376294,4,0.008248937574880821
ARL14EPL,0.007997454476274004,0.00330087318907084,4,0.007997454476274004
LRRC38,0.00791158438363891,0.0031828962692284453,4,0.00791158438363891
MAGEA10,0.007758077052039449,0.0013642542270943577,5,0.007758077052039449
CHRNA9,0.007718864672729061,0.0020871777172307457,5,0.007718864672729061
XAGE1A,0.007537713536540416,0.002180299516558397,4,0.007537713536540416
VCY1B,0.007098046483491013,0.004225962116085184,4,0.007098046483491013
MAGEA2B,0.006865199833673195,0.0023564977001509432,3,0.006865199833673195
XAGE2,0.00668134477613882,0.001034554475785436,2,0.00668134477613882
BLID,0.006650810583106177,0.004049109118808576,4,0.006650810583106177
PAGE1,0.006601789071501425,0.002888425784199571,4,0.006601789071501425
DDX53,0.006524805993146911,0.004004840507413938,4,0.006524805993146911
SPANXC,0.006496969738733471,0.0017429058860746539,4,0.006496969738733471
TGIF2LX,0.006472251288748292,0.0023724187791229886,3,0.006472251288748292
SLCO1B3,0.006370593780501703,0.001793964430815863,3,0.006370593780501703
MAGEA6,0.006301806665107221,0.001364095072341293,4,0.006301806665107221
GABRA3,0.006181456682569084,0.0026016413308297547,3,0.006181456682569084
GAGE2E,0.006161624278139165,0.002864622515083476,3,0.006161624278139165
SPANXB1,0.006149520148912908,0.0020693459468488396,3,0.006149520148912908
PAGE5,0.006145333484081856,0.0014853585365393676,3,0.006145333484081856
CSF3,0.005989518524886879,0.0019729920137577335,3,0.005989518524886879
TUBA3C,0.005921724503632476,0.00238475766649922,4,0.005921724503632476
MAGEA3,0.005788437379941237,0.0010401996041455664,2,0.005788437379941237
MAGEC2,0.005765466492731122,0.0019129104007747444,3,0.005765466492731122
MAGEA4,0.0057180818093474,0.0035278087650887574,3,0.0057180818093474
DCAF4L2,0.005648327625770688,0.002312450650777284,3,0.005648327625770688
MYPN,0.005611181792997362,0.004192236482611081,4,0.005611181792997362
LBX1,0.005598948159890193,0.005128529105520826,3,0.005598948159890193
GABRA1,-0.005547402625410676,0.0023015397186647558,1,0.005547402625410676
FTHL17,0.005500016665990246,0.0019542443452212296,3,0.005500016665990246
FAM133A,0.005499685929598165,0.0008163574628195144,1,0.005499685929598165
CALHM3,0.005433897159629205,0.0018290464993294888,2,0.005433897159629205
GNG7,-0.005418596451408469,0.0005057903213848718,2,0.005418596451408469
DAZ4,0.005418328339637564,0.0026722311453011467,2,0.005418328339637564
CILP,0.0054178357654441735,0.0020819419739815403,3,0.0054178357654441735
CSAG1,0.005389234109907338,0.001042806501028527,1,0.005389234109907338
SPOCK1,0.005253778451259039,0.0008566582133583488,1,0.005253778451259039
MAGEA12,0.00525276888597152,0.0009981289109432935,1,0.00525276888597152
CSF2,0.005231285453805852,0.002489661783366327,2,0.005231285453805852
MAGEB2,0.005219841435152385,0.0023285019737103777,2,0.005219841435152385
